Name,Category,Color,City,Lat,Lon
IPS Totoguampa,Primary Care (Level 1),#2ecc71,Colombia,2.5508157,-76.0651949
Centro medico a 67,Primary Care (Level 1),#2ecc71,Colombia,6.3073649,-75.5654367
SURA Comfama,Primary Care (Level 1),#2ecc71,Colombia,6.2641273,-75.5971144
IPS Universitaria,Primary Care (Level 1),#2ecc71,Colombia,6.2682175,-75.5685643
Salud Visual San Diego,Primary Care (Level 1),#2ecc71,Medellín,6.2300922,-75.5684574
Clínica Tundama,General Hospital (Level 2),#e67e22,Colombia,5.8275838,-73.0360606
Centro de salud Enciso,Primary Care (Level 1),#2ecc71,Colombia,6.2507081,-75.550144
Centro Medico Santa Ana,General Hospital (Level 2),#e67e22,Guarne,6.2814968,-75.4433262
Clínica IPS Casalud,Primary Care (Level 1),#2ecc71,Vélez,6.0156327,-73.674518
Puesto de salud loma de la virgen,Primary Care (Level 1),#2ecc71,Colombia,2.4283846,-76.6147127
Federico Arbelaez sede Tres Esquinas,General Hospital (Level 2),#e67e22,Colombia,3.8647618,-74.711604
IPS Julián Carlosama,Primary Care (Level 1),#2ecc71,Colombia,1.0815462,-77.6156764
Hospital Indígena,General Hospital (Level 2),#e67e22,Colombia,1.0837574,-77.6102073
Centro de Salud,Primary Care (Level 1),#2ecc71,Colombia,1.0592266,-77.5654156
Centro Médico San Camilo,Primary Care (Level 1),#2ecc71,Medellín,6.2651087,-75.5642409
IPS universitaria Leon XIII,Primary Care (Level 1),#2ecc71,Colombia,6.266554,-75.56391
Centro de Fracturas Cefra S.a.,General Hospital (Level 2),#e67e22,Colombia,6.2102283,-75.5763173
Centro de Salud Carpinello,Primary Care (Level 1),#2ecc71,Colombia,6.286615,-75.541254
Metrosalud Enciso,Primary Care (Level 1),#2ecc71,Colombia,6.2505888,-75.550023
Centro de Salud Pablo Vi,Primary Care (Level 1),#2ecc71,Colombia,6.3041919,-75.5528485
Centro de Salud Villa del Socorro,Primary Care (Level 1),#2ecc71,Colombia,6.29575,-75.5546392
Centro de Salud San Blas,Primary Care (Level 1),#2ecc71,Colombia,6.280886,-75.548404
Centro de Salud Villatina,Primary Care (Level 1),#2ecc71,Colombia,6.2375294,-75.5413127
Torre Medica de Prado,Primary Care (Level 1),#2ecc71,Colombia,6.261618,-75.5616611
Fracturas y Rayos X de Antioquia,Primary Care (Level 1),#2ecc71,Colombia,6.2694623,-75.5588883
Hospital Infantil Clinica Noel,General Hospital (Level 2),#e67e22,Colombia,6.2609231,-75.5615089
CENTRO DE SALUD POPULAR 1,Primary Care (Level 1),#2ecc71,Colombia,6.2972595,-75.5490022
Centro de Salud Moravia,Primary Care (Level 1),#2ecc71,Colombia,6.2747449,-75.5662117
CENTRO POLICLÍNICO S.A.,General Hospital (Level 2),#e67e22,Colombia,6.2486808,-75.5652647
Centro Medico y Odont. Oralser,Primary Care (Level 1),#2ecc71,Colombia,6.257722,-75.564828
Para su salud,General Hospital (Level 2),#e67e22,Colombia,4.3270526,-74.3584045
Hospital Luis Ablanque de la Plata,General Hospital (Level 2),#e67e22,Buenaventura,3.8822338,-77.0648647
Clínica del Colon,Primary Care (Level 1),#2ecc71,Colombia,3.4211957,-76.5443233
Puesto de Salud San Antonio del Chamí,Primary Care (Level 1),#2ecc71,Colombia,5.4167529,-75.904476
Puesto de Salud Río Mistrató,Primary Care (Level 1),#2ecc71,Colombia,5.3784181,-76.0016112
Puesto de Salud La Madera,Primary Care (Level 1),#2ecc71,Colombia,6.0188296,-75.3345389
Ips Nueva Eps,Primary Care (Level 1),#2ecc71,Buenaventura,3.8823894,-77.0635945
Centro de Salud Santo Domingo,Primary Care (Level 1),#2ecc71,Colombia,0.3343864,-74.1143087
