Name,Type,Complexity,City,Latitude,Longitude
UNIDAD HERMATOLOGICA ESPECIALIZADA,clinic,Low,Colombia,7.889792,-72.4916851
GASTROQUIRURGICA,clinic,Low,Colombia,7.8915296,-72.4920465
Medical Center,clinic,Low,Colombia,7.8924144,-72.4979033
MEDICINA ESPECIALIZADA,hospital,Medium,Colombia,7.8912706,-72.496503
I.P.S. San Rafael,clinic,Low,Colombia,7.885576,-72.5010058
Clínica Aterin,clinic,Low,Colombia,7.8937111,-72.4891539
Coneuro Kids,clinic,Low,Colombia,7.8939999,-72.48947
Tu Boca Bella Odontologia Especializada,clinic,Low,Colombia,7.8940984,-72.4894856
Clínica CONEURO,clinic,Low,Colombia,7.8929592,-72.4892114
Laboratorio Clinico,clinic,Low,Colombia,7.8920887,-72.4890924
Medical Center,hospital,Medium,Colombia,7.7866264,-72.2021456
urgencias la merced,hospital,High,CUCUTA,7.8930991,-72.5036954
urgencias la merced,hospital,High,CUCUTA,7.8929438,-72.5036633
unidad de servicios médicos PABLO SEXTO,clinic,Low,CUCUTA,7.8921865,-72.5013925
Principio de Una Esperanza,clinic,Low,Colombia,7.8841858,-72.4969675
Medical Center,clinic,Low,Colombia,7.8835881,-72.4966342
Medical Center,clinic,Low,Colombia,7.8835753,-72.4965184
Medical Center,clinic,Low,Colombia,7.8827948,-72.4958953
IPS,clinic,Low,Colombia,7.8843545,-72.4961411
Puesto de Salud Pablo VI,clinic,Low,Colombia,7.0965976,-73.1192754
Ambulatorio,hospital,Medium,Colombia,7.5402239,-72.4219091
Hospital Dr. Patrocinio Peñuela Ruiz,hospital,High,"San Cristóbal, Sector Santa Teresa",7.7937412,-72.2174068
Fundacor,hospital,Medium,Colombia,7.7945838,-72.2172215
Módulo Táriba,hospital,Medium,Táriba,7.8223547,-72.2175276
Clínica del Dolor Doctor Cho,clinic,Low,Colombia,7.779408,-72.2273752
Centro Médico Quirúrgico Venezuela,clinic,Low,Colombia,7.7844231,-72.2285698
Clínica La Trinidad,clinic,Low,Colombia,7.7907616,-72.2073267
Hospital Militar,hospital,Medium,Colombia,7.7967315,-72.193676
Hospital cari,hospital,Medium,Colombia,8.5558629,-73.3320206
Hospital Fundahosta,hospital,Medium,Colombia,7.822761,-72.2198382
Hospital San Antonio,hospital,Medium,Táriba,7.8200902,-72.2223799
Centro de Salud,hospital,Medium,Cúcuta,7.8771694,-72.4987915
IPS EL PARQUE,hospital,Medium,Colombia,7.8777805,-72.4992105
Cruz Roja Colombiana Sede Cúcuta,hospital,High,Colombia,7.8779625,-72.4994301
OPTICA VISUAl,hospital,Medium,Colombia,7.8777262,-72.4994839
Reabilitación Integral Marta Omaña y Asociados SAS,hospital,Medium,Colombia,7.8926565,-72.4929257
CLÍNICA METROPOLITANA (URGENCIAS),hospital,Medium,Colombia,7.896023,-72.5031337
centro de salud de zapamanga II,hospital,Medium,floridablanca santander,7.0888359,-73.1007855
Hospital César Uribe Piedrahita,hospital,Medium,Caucasia,7.9961014,-75.1966899
Hospital Regional César Uribe Piedrahíta,hospital,Medium,Caucasia,7.968483,-75.2010387
centro de Atención Integral,hospital,Medium,Colombia,7.8814498,-76.6141668
Centro de Salud Alfonso López,hospital,Medium,Colombia,7.876979,-76.6185185
Coomeva Urgencias,hospital,Medium,Colombia,7.8860739,-76.6301084
Hospital Regional Antonio Roldán Betancur,hospital,Medium,Apartadó,7.8878495,-76.6286865
Saldcoop,hospital,Medium,Colombia,7.8865257,-76.629533
Centro Neurológico de Antioquia,hospital,Medium,Colombia,7.8865165,-76.6291005
Centro médico,hospital,Medium,Colombia,7.8660756,-76.6653862
Hospital,hospital,Medium,Colombia,8.2826259,-76.3802247
Clínica Bucaramanga,clinic,Low,Colombia,7.1115672,-73.1097352
Clinicentro Colsanitas,clinic,Low,Colombia,7.1155244,-73.1156443
Centro de Salud,hospital,Medium,Colombia,7.8525166,-75.208244
Puesto de Salud,hospital,Medium,Colombia,7.7546256,-75.2544818
Centro de Salud,hospital,Medium,Colombia,7.8358035,-75.4151987
Puesto de Salud,hospital,Medium,Colombia,7.6683206,-75.2833895
Medicatura Cordero,hospital,Medium,Colombia,7.8549734,-72.1831591
Módulo Cordero,hospital,Medium,Colombia,7.8594661,-72.1785402
Medical Center,hospital,Medium,Colombia,7.177407,-75.7641991
Hospital San Juan de Dios,hospital,Medium,Valdivia,7.1638473,-75.4388999
Clínica Montería,clinic,Low,Colombia,8.7716848,-75.8683348
Clínica del Río Sede Hospitalaria,clinic,Low,Monteria,8.7464601,-75.8921749
Medical Center,clinic,Low,Colombia,8.7451942,-75.8917028
Clínica La Chinita,hospital,Medium,Colombia,7.8863129,-76.6302375
Manicómio Rudesindio Soto,hospital,Medium,Colombia,7.8750497,-72.5181762
Clínica La Merced,clinic,Low,Colombia,7.1366914,-73.1199682
lagos dental center,clinic,Low,Colombia,7.0667798,-73.0985565
Clínica Chicamocha - Sede La Rosita,hospital,Medium,Bucaramanga,7.1204107,-73.1150336
Medical Center,hospital,Medium,Colombia,7.8047249,-72.519452
Medical Center,clinic,Low,Colombia,7.5809277,-75.3502864
Medical Center,hospital,Medium,Colombia,7.0957364,-73.0939849
Medical Center,hospital,Medium,Colombia,8.5900849,-73.840726
Medical Center,hospital,High,Colombia,8.5884757,-73.8398778
Hospital Municipal,hospital,Medium,Majagual (Sucre),8.536373,-74.6170198
Clínica Chitaga,hospital,Medium,Colombia,7.139203,-72.6656545
Medical Center,hospital,Medium,Colombia,8.2541801,-73.3583391
HOSPITAL SAN SEBASTIAN DE SURATA,hospital,Medium,Colombia,7.3660917,-72.9846355
