ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3637,0,Cuba,0,-75.3832,20.2623,10657.92,2010-04-17,2010-04-21,0,0,84,Heavy Rain,1.0
3670,FL-2010-000121-DOM,Dominican Republic,0,-70.3928,19.2545,15731.6,2010-06-25,2010-06-27,0,0,0,Torrential Rain,1.0
3725,0,Jamaica,0,-77.2932,18.1978,6786.59,2010-09-20,2010-09-30,News,5,0,Tropical Storm Nicole,1.5
3742,TC-2010-000216-HTI,Haiti,,-75.8813,20.4766,39742.27,2010-11-05,2010-11-10,News,0,0,Hurricane Tomas,1.5
3817,,Haiti,Dominican Republic,-71.9966,18.5965,1115.2,2011-06-04,2011-06-13,News,23,250,Heavy Rain,1.0
3836,,Dominican Republic,Haiti,-70.9765,18.855,43197.43,2011-07-02,2011-07-06,News,4,4000,Heavy Rain,1.5
3848,,Dominican Republic,Haiti,-70.4897,19.1316,28022.38,2011-08-03,2011-08-09,News,3,7000,Tropical Storm-Emily,1.5
3915,,Haiti,Dominican Republic,-72.5821,19.4433,35151.93,2012-04-08,2012-04-26,News,9,11000,Heavy Rain,1.5
3973,TC-2012-000152-HTI,Haiti,,-72.2827,19.1356,4904.1,2012-08-25,2012-08-29,News,19,15000,Tropical Storm Isaac,1.5
4109,,Cuba,,-81.3958,22.9043,7627.3,2013-12-01,2013-12-08,News,2,227,Torrential Rain,1.0
4114,FL-2013-000159-LCA,Saint Vincent,St. Lucia,-60.9886,13.9188,830.232,2013-12-26,2014-01-04,News,11,0,Heavy Rain,1.0
4180,,Dominican Republic,,-69.754,19.0682,13399.5,2014-08-20,2014-09-04,News,0,4000,Tropical Storm Cristobal,1.0
4227,,Dominican Republic,,-69.8035,19.3285,11588.13,2015-02-20,2015-02-24,News,0,12000,Heavy Rain,1.0
4243,,Haiti,,-72.1912,18.685,3672.34,2015-04-04,2015-04-06,News,6,1000,Heavy Rain,1.0
4275,,Guyana,,-58.7431,6.66576,30931.23,2015-07-16,2015-07-21,News,0,0,Heavy Rain,1.5
4306,TC-2015-000142-BHS,Bahamas,,-73.8324,22.4916,4639.41,2015-10-02,2015-10-08,News,0,300,Tropical Storm Joaquin,1.5
4354,,Dominican Republic,Haiti,-71.1644,18.9942,23311.63,2016-05-08,2016-05-11,Flood List,5,3000,Heavy Rain,1.5
4415,,Haiti,,-72.5871,19.7388,4534.1,2016-11-05,2016-11-10,News,10,0,Heavy Rain,1.0
4416,,Dominican Republic,,-70.1252,18.9199,30798.38,2016-11-07,2016-11-10,News,0,20000,Heavy Rain,1.0
4467,,Dominican Republic,Haiti,-69.853,18.9198,24676.67,2017-04-23,2017-05-02,News,0,17145,Torrential Rain,1.5
4478,,Guyana,,-59.0153,3.81464,131888.36,2017-05-20,2017-05-25,News,0,100,Heavy Rain,1.5
4593,,Dominican Republic,,-70.9541,19.6636,3227.68,2018-03-15,2018-03-20,FloodList,0,0,Torrential Rain,1.5
4647,,Dominican Republic,USA,-69.7045,19.0183,21589.73,2018-07-09,2018-07-11,FloodList,0,8000,Tropical Storm Beryl,1.0
4790,,Bahamas,USA,-78.4266,26.622,1721.4,2019-09-01,2019-09-04,FloodList,5,30000,Tropical Storm Dorian,2.0
4956,,Haiti,Dominican Republic,-70.9046,18.9079,61964.98,2020-08-21,2020-08-25,FloodList,11,0,Tropical Storm Laura,2.0
5050,,Haiti,,-72.3521,18.9203,11054.93,2021-04-02,2021-04-07,FloodList,3,750,Heavy Rain,1.5
5087,,Guyana,Suriname,-58.9658,5.15327,170318.02,2021-05-15,2021-06-18,FloodList,0,0,Heavy Rain,1.0
5114,,Haiti,,-73.0696,18.4744,10341.15,2021-08-16,2021-08-17,News Media,0,0,Tropical Storm Grace,1.5
